timestamp,symbol,strategy,signal,confidence,price,sentiment_score
2025-06-22T20:00:03.459422,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:02:04.341050,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:02:04.345124,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:02:04.368550,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:02:04.369133,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:06:21.177892,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:06:21.180171,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:06:21.200806,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:06:21.201350,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:07:56.982475,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:07:56.985317,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:07:56.992733,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:07:56.993270,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:09:55.881577,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:09:55.884987,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:09:55.897574,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:09:55.898037,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:14:43.415355,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:14:43.418175,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:14:43.440113,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:14:43.440687,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:39:20.962314,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:39:20.965127,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:39:21.011100,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:39:21.011844,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:41:46.757721,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:41:46.760607,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:41:46.770607,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:41:46.771114,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T20:45:57.016349,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:45:57.019868,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:45:57.033803,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:45:57.034521,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T21:00:31.388739,AAPL.CSV,VWAP Slingshot,long,0.7,200.94,
2025-06-22T21:00:31.409817,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T21:00:31.412981,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T21:00:31.424190,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:00:31.424680,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T21:00:31.431995,TSLA.CSV,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:03:58.009182,AAPL.CSV,VWAP Slingshot,long,0.7,200.94,
2025-06-22T21:03:58.033080,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T21:03:58.035303,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T21:03:58.047376,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:03:58.047835,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T21:03:58.055514,TSLA.CSV,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:13:34.843390,AAPL.CSV,VWAP Slingshot,long,0.7,200.94,
2025-06-22T21:13:34.869902,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T21:13:34.872598,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T21:13:34.890760,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:13:34.891488,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T21:13:34.899029,TSLA.CSV,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:17:37.898075,AAPL.CSV,VWAP Slingshot,long,0.7,200.94,
2025-06-22T21:17:37.922520,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T21:17:37.924979,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T21:17:37.935844,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T21:17:37.936399,TSLA,Late-Day Reversal,short,0.65,322.17,
2025-06-22T21:17:37.943949,TSLA.CSV,VWAP Slingshot,long,0.7,322.17,
